,timestamps,open,high,low,close,volume,dividends,stocksplit
0,2025-09-02 09:30:00-04:00,169.0,170.02000427246094,168.64999389648438,169.88499450683594,22488601,0.0,0.0
1,2025-09-02 09:35:00-04:00,169.8699951171875,170.72000122070312,169.61000061035156,170.07000732421875,6458908,0.0,0.0
2,2025-09-02 09:40:00-04:00,170.07000732421875,171.0,169.9600067138672,170.8000030517578,4410928,0.0,0.0
3,2025-09-02 09:45:00-04:00,170.7899932861328,171.95460510253906,170.70680236816406,171.73500061035156,5115694,0.0,0.0
4,2025-09-02 09:50:00-04:00,171.7270050048828,172.37899780273438,171.5399932861328,172.19650268554688,4685484,0.0,0.0
5,2025-09-02 09:55:00-04:00,171.94000244140625,172.00999450683594,171.3217010498047,171.64999389648438,3225715,0.0,0.0
6,2025-09-02 10:00:00-04:00,171.63999938964844,172.00999450683594,170.63999938964844,170.88999938964844,4196806,0.0,0.0
7,2025-09-02 10:05:00-04:00,170.89999389648438,171.0,169.9499969482422,170.13499450683594,4463520,0.0,0.0
8,2025-09-02 10:10:00-04:00,170.13999938964844,170.6699981689453,170.0050048828125,170.27999877929688,3410930,0.0,0.0
9,2025-09-02 10:15:00-04:00,170.28500366210938,170.85000610351562,169.9499969482422,170.51499938964844,3164051,0.0,0.0
10,2025-09-02 10:20:00-04:00,170.52000427246094,170.8498992919922,169.82000732421875,169.9250030517578,2759341,0.0,0.0
11,2025-09-02 10:25:00-04:00,169.9250030517578,170.66000366210938,169.7899932861328,170.63360595703125,2948046,0.0,0.0
12,2025-09-02 10:30:00-04:00,170.6300048828125,170.63999938964844,170.1448974609375,170.30499267578125,2011442,0.0,0.0
13,2025-09-02 10:35:00-04:00,170.35000610351562,170.625,169.75999450683594,169.8881072998047,2433567,0.0,0.0
14,2025-09-02 10:40:00-04:00,169.89999389648438,169.97000122070312,169.14999389648438,169.35000610351562,3531430,0.0,0.0
